EventIndex,Planet1,Aspect,Planet2,Orb,Type
32,Venus,Trine,Saturn,4°56’,Separating
32,Mars,Trine,Saturn,0°11’,Separating
32,Mars,Square,Uranus,2°51’,Separating
32,Neptune,Sextile,Pluto,1°16’,Applying
33,Moon,Trine,Mercury,6°15’,Applying
33,Moon,Sextile,Mars,0°46’,Applying
33,Mercury,Sextile,Saturn,0°41’,Applying
33,Mercury,Opposition,Uranus,2°38’,Applying
33,Mercury,Square,Neptune,1°45’,Applying
33,Mars,Conjunction,Saturn,6°10’,Applying
33,Mars,Square,Pluto,5°24’,Applying
33,Jupiter,Square,Saturn,1°58’,Applying
33,Jupiter,Sextile,Neptune,0°54’,Applying
33,Jupiter,Conjunction,Pluto,2°44’,Applying
33,Saturn,Trine,Uranus,1°56’,Applying
33,Saturn,Square,Pluto,0°46’,Separating
33,Uranus,Square,Neptune,0°52’,Applying
33,Neptune,Sextile,Pluto,1°50’,Separating
34,Sun,Sextile,Moon,4°36’,Applying
34,Sun,Conjunction,Mercury,4°52’,Applying
34,Sun,Square,Uranus,3°01’,Applying
34,Sun,Square,Neptune,1°19’,Applying
34,Sun,Trine,Pluto,6°31’,Applying
34,Moon,Sextile,Mercury,0°15’,Separating
34,Moon,Square,Jupiter,0°13’,Applying
34,Moon,Square,Saturn,0°46’,Applying
34,Mercury,Trine,Mars,6°37’,Separating
34,Mercury,Square,Neptune,6°11’,Applying
34,Venus,Square,Mars,4°20’,Separating
34,Venus,Sextile,Jupiter,2°46’,Applying
34,Venus,Trine,Saturn,3°19’,Applying
34,Jupiter,Opposition,Saturn,0°32’,Applying
34,Jupiter,Trine,Neptune,5°42’,Applying
34,Saturn,Trine,Uranus,6°51’,Separating
34,Uranus,Opposition,Neptune,1°41’,Separating
35,Sun,Sextile,Mars,2°09’,Separating
35,Sun,Trine,Uranus,4°08’,Separating
35,Sun,Conjunction,Neptune,8°14’,Applying
35,Moon,Sextile,Mercury,2°16’,Separating
35,Moon,Trine,Saturn,5°46’,Separating
35,Moon,Opposition,Uranus,9°47’,Applying
35,Moon,Square,Pluto,6°34’,Applying
35,Mercury,Opposition,Saturn,3°30’,Separating
35,Mars,Opposition,Uranus,1°58’,Separating
35,Mars,Square,Pluto,5°11’,Separating
35,Jupiter,Sextile,Pluto,2°36’,Separating
35,Uranus,Square,Pluto,3°12’,Applying
36,Sun,Trine,Moon,6°24’,Separating
36,Sun,Trine,Jupiter,4°18’,Applying
36,Sun,Square,Saturn,1°07’,Applying
36,Sun,Trine,Uranus,8°26’,Applying
36,Sun,Square,Pluto,0°08’,Separating
36,Moon,Trine,Mercury,5°13’,Applying
36,Moon,Square,Venus,2°29’,Applying
36,Moon,Conjunction,Jupiter,2°06’,Separating
36,Moon,Conjunction,Uranus,2°01’,Applying
36,Mercury,Trine,Uranus,3°11’,Separating
36,Venus,Square,Jupiter,4°36’,Separating
36,Venus,Square,Uranus,0°27’,Separating
36,Jupiter,Conjunction,Uranus,4°08’,Separating
36,Saturn,Sextile,Neptune,0°55’,Separating
36,Saturn,Conjunction,Pluto,1°15’,Separating
36,Neptune,Sextile,Pluto,0°19’,Applying
37,Sun,Conjunction,Moon,0°33’,Separating
37,Sun,Square,Mars,3°23’,Separating
37,Sun,Conjunction,Jupiter,2°13’,Applying
37,Moon,Square,Mars,3°57’,Separating
37,Moon,Conjunction,Jupiter,1°40’,Applying
37,Mercury,Conjunction,Saturn,3°22’,Applying
37,Mercury,Sextile,Neptune,1°53’,Separating
37,Mercury,Square,Pluto,4°47’,Applying
37,Venus,Square,Uranus,4°13’,Applying
37,Mars,Square,Jupiter,5°37’,Applying
37,Saturn,Square,Pluto,1°24’,Separating
37,Uranus,Trine,Pluto,1°09’,Separating
38,Sun,Sextile,Saturn,5°19’,Applying
38,Moon,Square,Venus,4°23’,Separating
38,Moon,Opposition,Mars,6°14’,Separating
38,Moon,Conjunction,Jupiter,6°10’,Separating
38,Moon,Square,Uranus,5°34’,Applying
38,Moon,Square,Neptune,6°42’,Separating
38,Mercury,Trine,Uranus,1°48’,Separating
38,Venus,Square,Mars,1°51’,Separating
38,Venus,Square,Jupiter,1°47’,Separating
38,Venus,Conjunction,Neptune,2°19’,Separating
38,Mars,Opposition,Jupiter,0°04’,Applying
